num_incoming_packets,frac_outgoing_packets,frac_incoming_packets,std_outgoing_positions,num_outgoing_packets,sum_alt_concentration,avg_outgoing_positions,sum_all_packet_counts,sum_packets_per_second,total_packets,cumul_packets_10pct,cumul_packets_20pct,cumul_packets_30pct,cumul_packets_40pct,cumul_packets_50pct,cumul_packets_60pct,cumul_packets_70pct,cumul_packets_80pct,incoming_first_30,outgoing_first_30,label,class_type
1300.0,0.08515130190007038,0.9148486980999296,515.4839532235789,121.0,1421.0,773.3223140495868,2842.0,1421.0,1421.0,23.0,37.0,55.0,683.0,1184.0,1356.0,1383.0,1402.0,21.0,9.0,0,Website_0
438.0,0.15444015444015444,0.8455598455598455,139.23195069289952,80.0,518.0,226.1625,1036.0,518.0,518.0,5.0,31.0,49.0,184.0,275.0,428.0,517.0,517.0,22.0,8.0,0,Website_0
1240.0,0.08689248895434462,0.9131075110456554,472.7355082327105,118.0,1358.0,786.1101694915254,2716.0,1358.0,1358.0,8.0,34.0,34.0,53.0,886.0,1197.0,1299.0,1335.0,23.0,7.0,0,Website_0
1324.0,0.08437067773167359,0.9156293222683264,513.9160375955694,122.0,1446.0,820.139344262295,2892.0,1446.0,1446.0,15.0,38.0,57.0,390.0,1108.0,1282.0,1382.0,1411.0,21.0,9.0,0,Website_0
1291.0,0.08179231863442389,0.9182076813655761,503.99349022110914,115.0,1406.0,789.6086956521739,2812.0,1406.0,1406.0,22.0,35.0,53.0,544.0,1098.0,1259.0,1346.0,1374.0,22.0,8.0,0,Website_0
491.0,0.12164579606440072,0.8783542039355993,161.21417214162022,68.0,559.0,249.5735294117647,1118.0,559.0,559.0,4.0,30.0,35.0,142.0,305.0,471.0,558.0,558.0,22.0,8.0,0,Website_0
1261.0,0.08357558139534883,0.9164244186046512,481.71396073000915,115.0,1376.0,800.6782608695652,2752.0,1376.0,1376.0,4.0,23.0,40.0,154.0,1048.0,1208.0,1208.0,1313.0,23.0,7.0,0,Website_0
1277.0,0.08980755523877405,0.910192444761226,488.0052272146926,126.0,1403.0,806.7301587301587,2806.0,1403.0,1403.0,25.0,39.0,140.0,976.0,1343.0,1372.0,1397.0,1402.0,22.0,8.0,0,Website_0
494.0,0.12411347517730496,0.875886524822695,169.4687473445491,70.0,564.0,259.1714285714286,1128.0,564.0,564.0,22.0,36.0,40.0,166.0,307.0,475.0,563.0,563.0,22.0,8.0,0,Website_0
490.0,0.13120567375886524,0.8687943262411347,163.4145003995445,74.0,564.0,258.2567567567568,1128.0,564.0,564.0,4.0,23.0,36.0,55.0,267.0,323.0,472.0,563.0,22.0,8.0,0,Website_0
